date,country,net_injection,hdd,wind_weighted,day_sin,day_cos,day_of_week,is_weekend,stock_twh_lag_1,stock_fill_rate,hdd_wind,cold_weekend,net_injection_lag_1,net_injection_lag_7,hdd_roll_mean_7,wind_roll_mean_7
2016-03-20,BE,-0.009800000000000031,11.406066250801087,28.089229583740234,0.981124629771712,0.19337647441020586,6,1,1.4839,1.4839,320.38761356610297,11.406066250801087,-0.011700000000000044,-0.0032000000000000917,12.424965335641588,31.771491186959402
2016-03-21,BE,-0.025800000000000045,9.995233845710754,25.071096420288086,0.984305844499033,0.17647097349152166,0,0,1.4741,1.4741,250.59147148914118,0.0,-0.009800000000000031,-0.026000000000000023,11.90684041466032,30.187640053885325
2016-03-22,BE,-0.004899999999999904,10.248671102523804,19.16133689880371,0.9871957872910085,0.15951325197263655,1,0,1.4483,1.4483,196.37823976049268,0.0,-0.025800000000000045,-0.023399999999999865,11.57216784613473,28.25600787571498
2016-03-23,BE,0.00019999999999997797,9.78262917995453,21.566972732543945,0.9897936029670716,0.14250832791617088,2,0,1.4434,1.4434,210.9816967766681,0.0,-0.004899999999999904,-0.050000000000000044,11.250813685144696,26.283116476876394
2016-03-24,BE,-0.014599999999999946,9.654400014877321,39.55579376220703,0.992098522791769,0.12546123335273648,3,0,1.4436,1.4436,381.88745588633583,0.0,0.00019999999999997797,-0.03709999999999991,10.87450418131692,27.5831356048584
2016-03-25,BE,0.0020999999999999908,10.087420868873597,39.72416687011719,0.9941098647022418,0.10837701279187609,4,0,1.429,1.429,400.7143898842373,0.0,-0.014599999999999946,-0.03990000000000005,10.450069662502836,28.954886300223215
2016-03-26,BE,0.014899999999999913,8.439921236038208,47.27116775512695,0.9958270335100595,0.09126072172931188,5,1,1.4311,1.4311,398.96493258882055,8.439921236038208,0.0020999999999999908,-0.011700000000000044,9.944906071254184,31.49139486040388
2016-03-27,BE,0.0262,7.8453369140625,44.53535842895508,0.9972495210773451,0.07411742515094437,6,1,1.446,1.446,349.3948914636858,7.8453369140625,0.014899999999999913,-0.009800000000000031,9.436230451720103,33.840841838291716
2016-03-28,BE,0.030399999999999983,8.092733669281005,68.45114135742188,0.998376906467142,0.056952196034039754,0,0,1.4722,1.4722,553.9568563639215,0.0,0.0262,-0.025800000000000045,9.164444712230138,40.037991115025115
2016-03-29,BE,0.019300000000000095,8.73356647491455,43.890480041503906,0.9992088560679753,0.03977011384605572,1,0,1.5026,1.5026,383.32042505838467,0.0,0.030399999999999983,-0.004899999999999904,8.948001194000245,43.570725849696565
