date,country,source,temp_weighted,wind_weighted
2015-09-23,BE,history,12.455703496932983,42.66417694091797
2015-09-24,BE,history,13.624662971496582,43.56594467163086
2015-09-25,BE,history,12.793411493301392,26.400545120239258
2015-09-26,BE,history,11.5723708152771,28.017621994018555
2015-09-27,BE,history,12.192995786666868,31.487138748168945
2015-09-28,BE,history,12.03716320991516,31.253719329833984
2015-09-29,BE,history,12.189974927902222,37.80171203613281
2015-09-30,BE,history,12.184245491027832,36.71294021606445
2015-10-01,BE,history,11.141641521453856,36.7499885559082
2015-10-02,BE,history,10.93132882118225,25.16139793395996
2015-10-03,BE,history,12.040183687210083,18.486621856689453
2015-10-04,BE,history,11.747162199020384,22.53956413269043
2015-10-05,BE,history,14.657788419723513,30.121912002563477
2015-10-06,BE,history,15.896121072769166,34.0709114074707
2015-10-07,BE,history,14.443725633621215,37.113189697265625
2015-10-08,BE,history,12.71757788658142,27.41678237915039
2015-10-09,BE,history,12.026953411102294,19.469974517822266
2015-10-10,BE,history,12.11924624443054,30.77737045288086
2015-10-11,BE,history,9.059558057785033,32.28378677368164
2015-10-12,BE,history,7.374037480354309,24.735431671142578
2015-10-13,BE,history,5.080287575721741,45.86857604980469
2015-10-14,BE,history,4.951225018501281,35.647274017333984
2015-10-15,BE,history,4.596745896339416,28.38526153564453
2015-10-16,BE,history,7.076953768730164,38.16169738769531
2015-10-17,BE,history,8.352579569816589,35.45771408081055
2015-10-18,BE,history,8.745808696746826,15.91346549987793
2015-10-19,BE,history,10.205496549606323,21.470611572265625
2015-10-20,BE,history,9.412267208099365,27.086261749267578
2015-10-21,BE,history,9.155599880218505,40.80882263183594
2015-10-22,BE,history,11.88820366859436,32.203399658203125
2015-10-23,BE,history,10.951329231262207,23.051246643066406
2015-10-24,BE,history,11.630287313461302,27.38130760192871
2015-10-25,BE,history,11.134662103652955,34.338035583496094
2015-10-26,BE,history,11.774037075042726,28.16525650024414
2015-10-27,BE,history,12.651431798934937,26.459386825561523
2015-10-28,BE,history,12.707579565048217,29.15777587890625
2015-10-29,BE,history,11.658412075042724,33.61713790893555
2015-10-30,BE,history,11.412162590026854,35.64181900024414
2015-10-31,BE,history,10.661537313461304,28.00836944580078
2015-11-01,BE,history,9.64205813407898,18.363529205322266
2015-11-02,BE,history,7.990079307556153,24.923337936401367
2015-11-03,BE,history,11.223100090026856,28.639802932739258
2015-11-04,BE,history,13.067474794387817,31.883888244628906
2015-11-05,BE,history,13.642474365234374,42.109230041503906
2015-11-06,BE,history,15.65299572944641,43.28691101074219
2015-11-07,BE,history,17.01830701828003,50.83143615722656
2015-11-08,BE,history,14.671433639526365,43.96128845214844
2015-11-09,BE,history,13.911224889755246,53.21793746948242
2015-11-10,BE,history,13.883308315277096,51.744911193847656
2015-11-11,BE,history,11.814245653152465,37.420955657958984
2015-11-12,BE,history,12.727058458328246,38.32267379760742
2015-11-13,BE,history,11.575495767593383,55.884708404541016
2015-11-14,BE,history,9.14862117767334,60.56671905517578
2015-11-15,BE,history,13.230703878402709,62.00470733642578
2015-11-16,BE,history,11.5244544506073,47.20943832397461
2015-11-17,BE,history,13.958620691299439,68.59393310546875
2015-11-18,BE,history,12.825704383850097,63.84292984008789
2015-11-19,BE,history,11.511433601379395,55.82902145385742
2015-11-20,BE,history,7.769245886802674,50.81613540649414
2015-11-21,BE,history,4.416537594795227,60.72806167602539
2015-11-22,BE,history,2.821745753288269,43.987815856933594
2015-11-23,BE,history,2.2296625435352326,41.982852935791016
2015-11-24,BE,history,3.4460166335105895,55.884708404541016
2015-11-25,BE,history,5.653099703788757,45.912349700927734
2015-11-26,BE,history,4.2014334321022035,39.959999084472656
2015-11-27,BE,history,3.8784123301506037,46.6890983581543
2015-11-28,BE,history,5.986224937438965,57.30335998535156
2015-11-29,BE,history,9.837058448791502,62.17169952392578
2015-11-30,BE,history,10.04018392562866,63.6141471862793
2015-12-01,BE,history,11.239245939254761,39.304351806640625
2015-12-02,BE,history,9.246433019638062,38.03242874145508
2015-12-03,BE,history,8.017891597747802,44.848541259765625
2015-12-04,BE,history,8.61945469379425,52.130435943603516
2015-12-05,BE,history,6.6772665739059445,51.276939392089844
2015-12-06,BE,history,9.698516654968262,52.02591323852539
2015-12-07,BE,history,10.108621072769166,32.73625564575195
2015-12-08,BE,history,9.699037408828735,38.84831619262695
2015-12-09,BE,history,6.59705820083618,42.23676300048828
2015-12-10,BE,history,4.552058219909668,46.58488845825195
2015-12-11,BE,history,7.199037313461304,46.630767822265625
2015-12-12,BE,history,7.759037280082702,58.53958511352539
2015-12-13,BE,history,8.492474794387816,51.72236633300781
2015-12-14,BE,history,6.1650789976119995,26.400545120239258
2015-12-15,BE,history,7.681329536437988,30.77104949951172
2015-12-16,BE,history,11.621120595932007,39.34554672241211
2015-12-17,BE,history,13.183100652694701,36.82925033569336
2015-12-18,BE,history,11.442995262145997,35.069984436035156
2015-12-19,BE,history,12.136642599105834,41.167694091796875
2015-12-20,BE,history,12.097057723999022,42.30574417114258
2015-12-21,BE,history,10.42487063407898,63.25047302246094
2015-12-22,BE,history,12.438829517364503,55.6616325378418
2015-12-23,BE,history,10.70987057685852,53.749820709228516
2015-12-24,BE,history,10.477162075042724,54.12105941772461
2015-12-25,BE,history,9.720704793930054,51.72612380981445
2015-12-26,BE,history,11.348724985122681,49.91682815551758
2015-12-27,BE,history,10.289037322998047,46.66688537597656
2015-12-28,BE,history,8.692787647247314,35.26162338256836
2015-12-29,BE,history,8.600183725357056,37.12366485595703
2015-12-30,BE,history,7.400808334350585,45.94057083129883
2015-12-31,BE,history,8.078412294387817,48.91365432739258
2016-01-01,BE,history,6.187370491027832,40.98627853393555
2016-01-02,BE,history,8.108933448791504,45.25845718383789
2016-01-03,BE,history,7.04664158821106,52.654842376708984
2016-01-04,BE,history,6.591954088211058,37.99663162231445
